seqid,mean_plddt,ptm,length
cand01254,84.63,0.57,79
cand02438,84.62,0.6,68
cand02469,84.6,0.62,80
cand00609,84.59,0.69,72
cand00643,84.51,0.62,80
cand00292,84.5,0.65,84
cand00146,84.48,0.67,72
cand02394,84.43,0.63,71
cand01536,84.41,0.54,67
cand01253,84.39,0.63,67
cand00868,84.38,0.6,67
cand00916,84.38,0.64,72
cand00730,84.37,0.67,72
cand00488,84.36,0.65,72
cand00350,84.32,0.69,80
cand02359,84.3,0.63,76
cand00938,84.29,0.61,73
cand02414,84.28,0.57,65
cand01835,84.24,0.63,81
cand01839,84.21,0.67,65
cand01342,84.2,0.51,79
cand02410,84.12,0.58,68
cand01740,84.12,0.61,67
cand01809,84.03,0.5,79
cand00470,84.0,0.65,65
cand01557,83.99,0.63,75
cand00807,83.99,0.7,80
cand00750,83.95,0.63,72
cand01751,83.91,0.5,79
cand01216,83.9,0.61,76
cand01152,83.86,0.57,79
cand00529,83.85,0.6,65
cand01742,83.85,0.65,65
cand02071,83.83,0.68,72
cand02087,83.81,0.55,72
cand02466,83.75,0.58,68
cand00752,83.74,0.59,67
cand01847,83.74,0.61,75
cand00514,83.72,0.5,65
cand00189,83.7,0.64,65
cand00326,83.68,0.6,65
cand02439,83.65,0.58,68
cand00023,83.62,0.63,79
cand01156,83.59,0.63,79
cand02280,83.55,0.57,80
cand01175,83.55,0.65,80
cand01250,83.54,0.66,67
cand00404,83.49,0.48,74
cand01678,83.49,0.62,75
cand00012,83.42,0.63,74
cand00981,83.4,0.55,67
cand01754,83.4,0.51,79
cand01917,83.38,0.57,75
cand01529,83.36,0.56,79
cand01039,83.35,0.46,85
cand01079,83.34,0.63,81
cand00837,83.33,0.63,72
cand01274,83.33,0.48,79
cand02163,83.32,0.53,80
cand02478,83.29,0.47,80
cand00598,83.28,0.66,65
cand01806,83.25,0.61,75
cand00175,83.23,0.62,79
cand01633,83.22,0.65,67
cand02415,83.21,0.54,68
cand01160,83.18,0.61,71
cand01700,83.17,0.66,75
cand02477,83.16,0.6,80
cand00567,83.15,0.57,79
cand01596,83.13,0.64,75
cand00537,83.06,0.67,85
cand00505,83.0,0.61,84
cand01572,82.99,0.71,83
cand02044,82.95,0.58,72
cand01973,82.91,0.58,79
cand01232,82.9,0.6,67
cand01539,82.89,0.42,79
cand00847,82.85,0.7,85
cand01561,82.84,0.6,79
cand01524,82.84,0.56,79
cand00759,82.82,0.6,82
cand00015,82.82,0.56,66
cand00607,82.79,0.6,65
cand00910,82.79,0.57,79
cand02187,82.77,0.58,81
cand00473,82.76,0.64,65
cand01184,82.65,0.56,79
cand02009,82.64,0.57,72
cand00276,82.64,0.63,66
cand00710,82.64,0.6,72
cand01904,82.63,0.62,75
cand02034,82.61,0.55,72
cand02385,82.58,0.6,75
cand01377,82.57,0.58,67
cand00444,82.57,0.65,82
cand01197,82.48,0.7,83
cand02411,82.44,0.59,75
cand00760,82.42,0.57,73
cand00377,82.4,0.61,71
cand02185,82.39,0.52,65
cand01214,82.33,0.56,79
cand00632,82.33,0.61,72
cand00622,82.3,0.59,67
cand00739,82.29,0.65,85
cand01491,82.27,0.56,74
cand02372,82.25,0.6,68
cand01504,82.24,0.56,79
cand01694,82.22,0.63,75
cand01674,82.21,0.57,79
cand00082,82.19,0.61,80
cand01280,82.18,0.62,75
cand00885,82.18,0.59,65
cand00128,82.12,0.63,83
cand00932,82.12,0.61,83
cand00410,82.11,0.67,80
cand02002,82.09,0.64,75
cand01017,82.08,0.62,65
cand02227,82.07,0.55,81
cand01452,82.06,0.6,67
cand00116,82.06,0.57,66
cand01750,82.06,0.6,75
cand01656,82.04,0.6,65
cand00571,82.03,0.59,65
cand02298,82.02,0.51,80
cand02262,82.01,0.56,68
cand01583,81.99,0.43,79
cand01219,81.99,0.42,79
cand01902,81.96,0.62,75
cand01805,81.95,0.59,65
cand00067,81.95,0.67,78
cand01954,81.94,0.44,79
cand01665,81.93,0.51,67
cand01941,81.93,0.64,75
cand01267,81.92,0.51,79
cand00605,81.9,0.43,71
cand01193,81.88,0.62,71
cand01525,81.87,0.71,83
cand00221,81.87,0.6,84
cand01661,81.8,0.49,79
cand01298,81.78,0.55,74
cand02293,81.73,0.51,68
cand00439,81.67,0.63,65
cand01949,81.66,0.57,76
cand00366,81.64,0.46,83
cand00603,81.62,0.61,82
cand01881,81.58,0.59,72
cand02475,81.55,0.54,80
cand00039,81.53,0.6,66
cand00583,81.5,0.67,83
cand00414,81.5,0.64,84
cand02437,81.48,0.51,71
cand01419,81.35,0.51,79
cand01640,81.33,0.5,76
cand02104,81.32,0.59,76
cand00585,81.3,0.61,65
cand01062,81.28,0.57,79
cand02006,81.27,0.46,79
cand01348,81.24,0.65,83
cand00630,81.22,0.64,72
cand02154,81.16,0.48,76
cand00454,81.13,0.63,82
cand00874,81.1,0.66,82
cand01270,81.09,0.61,75
cand00731,81.05,0.62,82
cand02072,81.0,0.53,76
cand00333,80.97,0.6,84
cand00036,80.95,0.55,74
cand01493,80.93,0.52,67
cand00550,80.92,0.63,65
cand01565,80.91,0.61,75
cand00682,80.89,0.65,82
cand01406,80.87,0.64,83
cand00737,80.82,0.68,82
cand00653,80.82,0.65,82
cand00158,80.82,0.51,82
cand00952,80.81,0.59,65
cand01997,80.8,0.61,75
cand01869,80.8,0.6,75
cand01639,80.77,0.48,79
cand02455,80.72,0.41,68
cand01822,80.71,0.6,75
cand01713,80.69,0.42,67
cand01433,80.67,0.68,83
cand01731,80.67,0.48,67
cand01825,80.65,0.62,75
cand00906,80.63,0.56,74
cand00542,80.6,0.54,74
cand00792,80.55,0.66,85
cand01513,80.54,0.55,79
cand00485,80.5,0.62,79
cand00967,80.48,0.6,65
cand01588,80.47,0.58,75
cand00879,80.43,0.5,71
cand01728,80.4,0.55,79
cand00919,80.4,0.57,71
cand01500,80.4,0.42,83
cand02300,80.37,0.51,80
cand01125,80.36,0.54,79
cand02309,80.34,0.45,74
cand00767,80.34,0.66,83
cand01167,80.33,0.66,80
cand00586,80.26,0.6,71
cand01817,80.2,0.51,79
cand01480,80.13,0.61,85
cand02041,80.12,0.55,65
cand01238,80.09,0.6,85
cand01932,80.08,0.56,65
cand00856,80.04,0.47,65
cand00992,79.96,0.61,72
cand02013,79.95,0.58,75
cand00953,79.9,0.56,67
cand01316,79.88,0.49,79
cand00966,79.88,0.69,85
cand01945,79.87,0.44,79
cand00845,79.83,0.59,72
cand02473,79.83,0.57,80
cand00564,79.8,0.65,85
cand01527,79.78,0.44,79
cand01878,79.76,0.49,79
cand00999,79.74,0.61,65
cand01756,79.65,0.47,79
cand00048,79.62,0.56,74
cand00437,79.55,0.59,80
cand01462,79.51,0.53,65
cand00800,79.48,0.57,80
cand01535,79.46,0.63,65
cand00715,79.45,0.64,82
cand00950,79.41,0.66,85
cand00872,79.34,0.62,85
cand01981,79.34,0.61,75
cand00758,79.27,0.64,82
cand01320,79.26,0.59,67
cand00587,79.24,0.62,85
cand00374,79.2,0.56,65
cand01906,79.17,0.4,79
cand00898,79.15,0.53,65
cand01601,79.1,0.6,75
cand01652,79.06,0.49,65
cand00371,78.98,0.46,83
cand01808,78.93,0.59,65
cand00968,78.93,0.5,80
cand02440,78.89,0.54,71
cand01773,78.86,0.6,75
cand00484,78.84,0.57,79
cand00960,78.83,0.55,71
cand01672,78.8,0.38,85
cand01861,78.73,0.58,75
cand01409,78.69,0.56,79
cand01554,78.68,0.47,65
cand00433,78.67,0.62,85
cand00889,78.55,0.61,72
cand02460,78.54,0.47,68
cand00668,78.45,0.64,82
cand01555,78.39,0.42,79
cand00205,78.37,0.55,66
cand00375,78.22,0.57,83
cand01434,78.15,0.6,83
cand01679,78.11,0.46,79
cand01801,78.1,0.53,65
cand00955,78.06,0.67,85
cand01511,78.03,0.47,65
cand02030,77.95,0.56,76
cand01081,77.91,0.52,80
cand00683,77.91,0.46,72
cand01292,77.87,0.49,71
cand00631,77.87,0.54,65
cand00645,77.86,0.56,80
cand00463,77.84,0.45,74
cand01939,77.82,0.5,79
cand01783,77.79,0.58,75
cand00602,77.71,0.54,65
cand02003,77.66,0.56,75
cand00612,77.66,0.56,65
cand00615,77.65,0.5,82
cand02145,77.63,0.6,75
cand00469,77.62,0.56,80
cand00563,77.55,0.58,80
cand02433,77.53,0.39,68
cand01876,77.5,0.58,75
cand01074,77.49,0.54,67
cand00521,77.45,0.46,74
cand01509,77.45,0.55,75
cand00989,77.4,0.56,65
cand02120,77.38,0.55,76
cand01235,77.38,0.57,83
cand01461,77.35,0.44,71
cand02096,77.3,0.68,83
cand01087,77.27,0.53,67
cand00308,77.27,0.62,82
cand00187,77.26,0.59,83
cand00185,77.25,0.55,80
cand00191,77.2,0.57,78
cand01951,77.14,0.61,72
cand01671,77.12,0.56,65
cand01582,77.04,0.48,67
cand00888,77.01,0.61,72
cand00547,76.98,0.47,74
cand02421,76.96,0.49,68
cand00472,76.89,0.58,82
cand00381,76.78,0.48,80
cand01955,76.77,0.41,79
cand00007,76.75,0.52,66
cand01208,76.69,0.57,67
cand02375,76.56,0.4,68
cand01026,76.52,0.47,65
cand01180,76.5,0.64,85
cand00690,76.48,0.61,82
cand00657,76.37,0.63,82
cand02090,76.32,0.65,83
cand02134,76.31,0.53,72
cand01163,76.3,0.58,71
cand00240,76.25,0.54,74
cand00447,76.23,0.39,65
cand00582,76.21,0.54,80
cand01098,76.11,0.56,83
cand00693,76.11,0.55,80
cand02422,76.06,0.41,68
cand01054,76.05,0.49,85
cand02022,76.03,0.56,83
cand00649,75.99,0.53,72
cand00841,75.98,0.57,80
cand01849,75.98,0.53,75
cand00565,75.86,0.66,85
cand01580,75.84,0.46,65
cand02446,75.76,0.49,68
cand00281,75.73,0.59,82
cand00595,75.71,0.36,65
cand01765,75.69,0.49,65
cand02451,75.67,0.42,68
cand00613,75.59,0.56,80
cand00604,75.59,0.52,82
cand01887,75.55,0.57,75
cand01264,75.55,0.56,83
cand00078,75.52,0.6,74
cand02444,75.49,0.36,68
cand00813,75.4,0.59,80
cand00825,75.39,0.52,82
cand00647,75.32,0.5,74
cand00490,75.3,0.52,82
cand02000,75.25,0.6,72
cand02001,75.2,0.56,83
cand00733,75.2,0.54,80
cand00726,75.2,0.51,82
cand00237,75.19,0.63,82
cand00453,75.15,0.51,80
cand01743,75.09,0.48,76
cand00317,75.05,0.49,82
cand00357,74.91,0.42,83
cand00553,74.91,0.44,74
cand00385,74.9,0.51,82
cand01597,74.86,0.56,83
cand00204,74.86,0.53,79
cand00783,74.69,0.59,85
cand00322,74.65,0.4,80
cand01095,74.63,0.55,65
cand02434,74.59,0.45,68
cand00884,74.52,0.51,82
cand00756,74.48,0.52,80
cand02051,74.45,0.48,67
cand01269,74.37,0.43,72
cand00062,74.33,0.53,79
cand01989,74.26,0.52,72
cand01202,74.23,0.47,67
cand00786,74.22,0.53,80
cand01870,74.22,0.45,72
cand00089,74.2,0.54,79
cand00671,74.18,0.54,80
cand01621,74.16,0.48,67
cand01116,74.13,0.52,65
cand02119,74.12,0.62,83
cand01698,73.96,0.5,75
cand00114,73.87,0.53,79
cand01874,73.87,0.43,75
cand01610,73.78,0.53,75
cand01475,73.74,0.4,65
cand00530,73.7,0.44,72
cand00545,73.65,0.5,82
cand01045,73.65,0.58,85
cand01940,73.64,0.52,75
cand00611,73.63,0.59,82
cand02323,73.59,0.5,68
cand00627,73.59,0.54,65
cand00980,73.47,0.58,67
cand01569,73.34,0.4,83
cand00996,73.33,0.47,65
cand02263,73.32,0.41,68
cand00538,73.31,0.59,74
cand02137,73.3,0.49,85
cand01311,73.3,0.39,67
cand00112,73.29,0.51,79
cand02135,73.16,0.53,83
cand01651,73.11,0.46,65
cand00480,73.04,0.53,80
cand00876,73.03,0.53,80
cand00208,73.02,0.52,78
cand01041,73.0,0.53,71
cand02118,72.93,0.46,68
cand00409,72.92,0.48,65
cand00201,72.91,0.51,79
cand00294,72.84,0.37,71
cand00616,72.8,0.51,80
cand01875,72.79,0.51,85
cand00218,72.69,0.5,79
cand01134,72.67,0.52,65
cand00100,72.64,0.49,79
cand02075,72.63,0.42,85
cand00307,72.61,0.46,79
cand01541,72.6,0.52,75
cand01032,72.5,0.4,65
cand00601,72.41,0.56,71
cand00455,72.41,0.5,72
cand02146,72.32,0.4,83
cand00745,72.27,0.53,80
cand00420,72.22,0.58,85
cand01459,72.21,0.52,83
cand00552,72.19,0.53,80
cand00476,72.14,0.51,80
cand00949,72.11,0.42,74
cand00652,72.09,0.46,80
cand00352,72.06,0.5,80
cand00891,72.05,0.47,83
cand00443,72.02,0.46,84
cand01473,72.0,0.46,67
cand00987,71.93,0.42,83
cand00817,71.77,0.46,71
cand01257,71.73,0.44,65
cand00171,71.54,0.51,79
cand00475,71.52,0.53,80
cand00291,71.5,0.47,79
cand01873,71.44,0.51,75
cand02396,71.41,0.39,68
cand01771,71.29,0.44,65
cand01323,71.29,0.51,75
cand00459,71.23,0.54,79
cand00236,71.18,0.48,79
cand01243,71.16,0.46,65
cand02193,71.14,0.52,72
cand00120,71.09,0.48,79
cand00729,71.04,0.48,72
cand00556,71.02,0.45,65
cand01538,70.98,0.36,71
cand00068,70.94,0.47,66
cand02256,70.89,0.47,85
cand01230,70.83,0.49,67
cand01231,70.67,0.5,71
cand00256,70.62,0.53,79
cand01205,70.61,0.4,83
cand01772,70.51,0.48,75
cand01398,70.49,0.48,71
cand01154,70.45,0.47,67
cand01761,70.36,0.38,65
cand00213,70.34,0.5,79
cand00951,70.33,0.49,67
cand00034,70.29,0.48,66
cand00507,70.2,0.53,80
cand01368,70.16,0.36,85
cand01059,70.16,0.51,75
cand01937,69.98,0.46,72
cand01092,69.93,0.5,65
cand00535,69.92,0.6,85
cand00392,69.89,0.5,79
cand00749,69.87,0.49,82
cand01520,69.84,0.41,65
cand00698,69.75,0.47,71
cand02005,69.64,0.5,75
cand01168,69.6,0.49,67
cand00802,69.56,0.46,71
cand02019,69.44,0.36,85
cand00669,69.43,0.48,80
cand00065,69.4,0.47,66
cand01903,69.38,0.58,72
cand00766,69.3,0.52,72
cand00193,69.27,0.48,79
cand00398,69.27,0.37,71
cand01396,69.24,0.48,67
cand00629,69.24,0.38,72
cand02173,69.22,0.52,72
cand00566,69.18,0.42,65
cand00230,69.15,0.49,83
cand00920,69.05,0.42,65
cand00293,69.01,0.5,82
cand00626,68.98,0.4,65
cand00261,68.93,0.4,79
cand00621,68.6,0.44,65
cand00364,68.59,0.47,79
cand00335,68.5,0.46,82
cand01820,68.47,0.41,65
cand00814,68.4,0.54,80
cand00088,68.39,0.43,79
cand00411,68.18,0.46,71
cand01910,68.03,0.49,75
cand01195,68.01,0.45,71
cand00239,67.97,0.45,79
cand01010,67.89,0.47,71
cand00368,67.88,0.49,71
cand01388,67.67,0.38,83
cand00705,67.66,0.53,82
cand02021,67.57,0.38,65
cand00323,67.5,0.39,65
cand01252,67.44,0.48,65
cand00458,67.43,0.42,65
cand00578,67.4,0.37,71
cand01595,67.38,0.45,72
cand00599,67.36,0.42,65
cand02189,67.36,0.34,85
cand01815,67.35,0.52,75
cand00581,67.29,0.47,82
cand01467,67.28,0.43,65
cand00740,67.19,0.47,85
cand00142,67.19,0.5,79
cand00468,67.14,0.52,82
cand00677,67.06,0.37,67
cand02141,67.03,0.44,83
cand00461,66.97,0.5,82
cand01164,66.95,0.44,65
cand00209,66.89,0.56,74
cand01249,66.89,0.49,71
cand01018,66.88,0.45,71
cand01218,66.83,0.39,71
cand01373,66.74,0.45,71
cand02200,66.66,0.39,85
cand01657,66.62,0.47,75
cand01710,66.6,0.41,67
cand01834,66.49,0.44,75
cand00212,66.47,0.41,79
cand01427,66.38,0.4,71
cand01619,66.31,0.42,72
cand01757,66.27,0.41,75
cand01004,66.22,0.54,85
cand00499,66.2,0.45,79
cand01241,66.16,0.42,74
cand00382,66.12,0.47,82
cand02067,66.11,0.4,65
cand01507,66.09,0.42,75
cand01143,66.07,0.41,65
cand01624,66.06,0.46,75
cand00168,66.0,0.42,83
cand00895,66.0,0.4,65
cand00133,65.94,0.49,79
cand00460,65.94,0.45,79
cand00815,65.9,0.5,82
cand01862,65.89,0.4,65
cand00215,65.82,0.42,83
cand00483,65.7,0.46,79
cand00206,65.67,0.44,79
cand00830,65.66,0.55,85
cand01699,65.61,0.46,75
cand01959,65.57,0.45,75
cand00288,65.5,0.42,71
cand00673,65.38,0.48,85
cand00551,65.3,0.48,82
cand00902,65.14,0.38,65
cand01811,65.12,0.47,75
cand01025,65.01,0.4,65
cand00663,65.0,0.43,73
cand00685,64.91,0.43,80
cand00428,64.81,0.41,65
cand01744,64.8,0.41,65
cand02084,64.77,0.38,83
cand00606,64.46,0.4,71
cand00597,64.43,0.44,71
cand01048,64.41,0.48,85
cand01159,64.38,0.48,67
cand01488,64.35,0.4,65
cand00770,64.29,0.5,85
cand01745,64.29,0.37,65
cand00935,64.28,0.38,65
cand00520,64.23,0.37,65
cand01562,64.22,0.41,67
cand01816,64.21,0.39,65
cand00113,64.1,0.43,83
cand01622,64.04,0.4,65
cand00592,63.98,0.45,80
cand01194,63.74,0.4,71
cand01055,63.69,0.48,85
cand01923,63.61,0.43,75
cand01330,63.58,0.34,71
cand00462,63.45,0.33,65
cand01924,63.24,0.4,75
cand01275,63.01,0.38,75
cand01169,63.0,0.41,65
cand00577,62.91,0.42,65
cand00314,62.79,0.44,79
cand01956,62.77,0.4,75
cand01381,62.58,0.42,67
cand02157,62.52,0.44,72
cand00835,62.35,0.36,71
cand01328,62.11,0.44,71
cand00018,62.03,0.42,66
cand01239,62.01,0.39,71
cand00360,61.84,0.39,71
cand01245,61.74,0.3,65
cand00617,61.59,0.31,65
cand00911,61.53,0.43,67
cand01179,61.43,0.36,85
cand00202,61.38,0.37,71
cand01911,61.29,0.41,75
cand00390,60.89,0.38,71
cand00285,60.8,0.42,73
cand00864,60.49,0.5,85
cand02011,60.47,0.44,75
cand00971,60.25,0.34,65
cand02198,60.16,0.45,85
cand00075,60.14,0.43,79
cand00624,60.03,0.41,72
cand01262,59.89,0.35,65
cand00406,59.5,0.37,71
cand01327,59.49,0.37,67
cand00965,59.46,0.33,72
cand01204,59.31,0.42,85
cand00041,57.75,0.36,78
cand00053,56.64,0.35,78
cand01446,56.32,0.33,71
cand00958,56.02,0.41,85
cand01094,55.58,0.41,85
cand02188,54.77,0.37,85
cand01007,53.19,0.29,65
cand01221,53.16,0.36,85
