cand,ipsae_min,sc_dockq,bsa,ddg,dSASA,cms,nres,irms,Lrms,fnat,ncontact,consensus_pass
cand00909,0.1043,0.059,823.2,-35.95,1539.2,290.6,59,9.935,19.902,0.0,68,0
cand01350,0.1037,0.6,881.7,-46.67,1658.4,394.3,67,2.072,5.002,0.714,89,0
cand01824,0.1037,,910.9,-41.95,1693.5,357.9,60,,,,85,0
cand00330,0.1033,0.146,988.0,-41.28,1792.6,378.9,71,6.121,15.209,0.143,88,0
cand00266,0.1017,0.028,667.9,-29.14,1199.2,258.9,52,10.514,32.159,0.0,62,0
cand01425,0.0992,0.139,921.7,-38.42,1680.3,319.8,62,4.004,17.957,0.111,86,0
cand01589,0.0944,0.021,820.0,-36.41,1535.9,299.7,64,14.567,36.011,0.0,66,0
cand01718,0.0932,0.446,762.2,-23.40,1426.0,277.4,65,3.346,7.742,0.625,71,0
cand02405,0.0928,0.057,698.9,-23.98,1278.2,215.7,53,8.607,21.034,0.0,63,0
cand02129,0.0924,,858.7,-39.45,1626.7,316.4,67,,,,82,0
cand01708,0.0922,0.695,889.0,-31.51,1605.4,258.2,66,1.779,4.657,0.9,80,0
cand00155,0.0920,0.036,600.6,-21.99,1093.0,214.6,48,12.37,26.623,0.0,52,0
cand00668,0.0919,0.362,928.4,-40.71,1766.2,346.4,76,4.044,8.508,0.467,93,0
cand00440,0.0917,0.186,797.1,-37.24,1485.1,321.4,65,4.141,9.538,0.0,71,0
cand00445,0.0908,0.047,664.8,-29.75,1270.3,253.2,62,12.689,22.311,0.0,68,0
cand02121,0.0907,0.439,790.8,-32.61,1471.5,249.4,65,2.689,8.38,0.571,70,0
cand01617,0.0905,0.033,948.6,-47.73,1752.8,415.8,68,8.073,32.206,0.0,89,0
cand00866,0.0905,,589.9,-23.85,1125.8,211.3,46,,,,57,0
cand02037,0.0901,0.708,877.3,-37.88,1598.2,305.7,69,1.375,3.341,0.714,85,0
cand01970,0.0892,0.028,973.5,-43.72,1766.0,353.0,71,8.721,35.001,0.0,83,0
cand00610,0.0878,0.442,891.2,-48.10,1701.4,387.8,73,2.453,5.284,0.333,94,0
cand00477,0.0874,0.176,770.3,-27.79,1443.6,286.3,64,4.121,10.175,0.0,74,0
cand00107,0.0846,0.523,630.7,-16.48,1120.0,160.6,53,1.67,3.244,0.25,50,0
cand00564,0.0844,0.2,681.2,-30.20,1261.9,239.8,54,3.656,9.294,0.0,57,0
cand00421,0.0822,0.838,867.5,-40.90,1677.8,351.8,76,1.281,2.22,1.0,81,0
cand01531,0.0819,0.021,887.1,-38.49,1676.6,342.3,61,9.873,41.127,0.0,78,0
cand02151,0.0818,0.039,809.7,-36.30,1531.4,302.3,66,7.943,28.2,0.0,73,0
cand00754,0.0813,0.814,728.9,-40.83,1352.8,283.4,55,0.964,3.19,0.857,60,0
cand02186,0.0802,0.415,921.6,-44.39,1712.5,350.3,63,2.479,6.036,0.312,76,0
cand02123,0.0788,0.024,938.1,-42.39,1755.2,392.7,77,9.834,37.161,0.0,87,0
cand02381,0.0778,,471.7,-22.92,903.7,170.8,43,,,,45,0
cand01334,0.0770,0.024,733.4,-27.21,1333.5,191.3,57,12.954,34.135,0.0,59,0
cand00700,0.0768,0.124,774.5,-34.33,1445.1,248.2,65,4.624,13.714,0.0,71,0
cand02038,0.0763,0.552,748.4,-24.87,1348.5,221.9,66,1.591,4.113,0.375,76,0
cand01135,0.0756,0.021,967.4,-43.11,1809.2,358.6,56,9.626,41.491,0.0,86,0
cand00746,0.0735,0.05,823.6,-24.27,1539.3,295.2,59,10.406,22.076,0.0,69,0
cand00105,0.0717,0.584,746.7,-24.51,1337.1,253.1,59,2.065,5.849,0.727,74,0
cand00851,0.0712,0.356,783.2,-30.69,1415.0,260.9,62,3.857,9.648,0.5,70,0
cand00956,0.0703,,640.8,-20.91,1202.3,212.5,42,,,,44,0
cand00516,0.0697,0.399,928.2,-38.62,1719.4,350.9,70,3.302,6.987,0.429,92,0
cand00005,0.0691,0.296,666.9,-22.88,1262.3,222.5,57,3.074,8.254,0.182,57,0
cand00518,0.0652,0.513,905.0,-40.33,1688.1,358.1,66,2.154,5.393,0.5,73,0
cand02400,0.0649,0.347,989.8,-36.38,1848.6,341.9,76,2.584,8.469,0.286,83,0
cand02147,0.0641,0.029,840.6,-38.25,1589.1,337.9,69,8.618,34.447,0.0,71,0
cand01882,0.0640,0.035,965.6,-37.93,1797.8,369.2,72,8.194,30.344,0.0,88,0
cand00929,0.0640,0.524,873.6,-37.79,1633.7,346.8,66,1.077,2.656,0.0,73,0
cand00208,0.0633,0.252,714.0,-22.67,1338.7,216.7,57,3.424,7.033,0.0,66,0
cand01596,0.0623,0.063,964.9,-42.71,1772.6,337.6,70,7.667,19.953,0.0,84,0
cand00861,0.0606,0.064,771.5,-29.53,1485.9,301.9,64,7.051,20.392,0.0,83,0
cand00672,0.0604,0.665,833.6,-30.68,1608.5,328.7,64,1.257,2.734,0.5,83,0
cand01046,0.0602,0.222,830.8,-45.15,1598.1,360.7,56,4.88,12.101,0.25,69,0
cand00808,0.0599,0.535,729.7,-29.12,1322.5,253.7,60,2.989,5.075,0.667,63,0
cand00555,0.0597,0.048,880.4,-37.28,1671.2,350.2,75,11.914,22.285,0.0,86,0
cand01158,0.0587,0.216,686.3,-27.01,1274.1,230.5,58,4.173,7.924,0.0,71,0
cand01973,0.0579,0.032,876.5,-36.43,1637.5,317.1,66,8.509,32.107,0.0,80,0
cand01548,0.0549,0.236,800.9,-37.95,1499.1,309.2,57,4.28,12.99,0.3,66,0
cand01224,0.0535,0.27,763.8,-52.51,1458.6,370.0,66,3.058,6.706,0.0,78,0
cand00878,0.0534,0.509,844.4,-38.46,1580.1,358.4,54,1.679,6.19,0.429,75,0
cand01091,0.0527,0.022,909.2,-43.53,1747.7,352.0,60,14.31,35.412,0.0,80,0
cand01106,0.0520,0.589,799.3,-25.23,1483.1,266.8,59,1.903,4.81,0.625,67,0
cand01524,0.0519,0.019,1131.4,-57.81,2104.1,465.8,75,11.626,41.637,0.0,98,0
cand02361,0.0511,0.021,841.1,-38.35,1595.1,338.1,66,11.884,37.836,0.0,75,0
cand00853,0.0500,0.066,689.5,-27.33,1233.2,250.4,53,8.527,18.85,0.0,55,0
cand01547,0.0484,0.021,907.7,-33.16,1629.3,308.9,72,10.527,40.293,0.0,78,0
cand01287,0.0483,0.394,836.2,-30.57,1540.0,283.6,65,2.561,8.535,0.429,70,0
cand00900,0.0479,0.855,955.1,-31.07,1870.8,385.8,71,0.789,2.41,0.857,85,0
cand02348,0.0469,,682.1,-29.98,1282.4,285.8,48,,,,59,0
cand00081,0.0467,0.208,710.9,-21.35,1297.5,192.5,55,3.637,8.897,0.0,75,0
cand01108,0.0466,0.706,864.9,-37.98,1636.1,318.2,63,1.26,3.348,0.667,73,0
cand02246,0.0464,0.121,986.8,-40.24,1805.5,397.6,67,5.778,19.731,0.143,93,0
cand00425,0.0462,0.081,813.2,-34.69,1492.5,333.0,62,6.29,17.561,0.0,89,0
cand01764,0.0458,0.231,731.7,-22.96,1375.3,239.6,55,4.063,9.762,0.143,56,0
cand00061,0.0453,0.029,681.6,-31.90,1315.8,298.6,51,10.341,32.14,0.0,59,0
cand02217,0.0441,0.479,803.7,-44.76,1532.0,370.7,64,2.173,5.74,0.429,82,0
cand01926,0.0439,0.069,821.4,-38.41,1513.4,319.6,76,9.818,17.929,0.0,67,0
cand01953,0.0438,0.015,725.0,-32.74,1346.8,296.9,55,13.008,46.25,0.0,71,0
cand02102,0.0433,0.539,978.0,-43.06,1861.6,371.5,69,1.95,4.017,0.429,88,0
cand01050,0.0396,0.742,871.0,-41.34,1662.7,372.7,61,1.266,2.972,0.75,79,0
cand01333,0.0392,0.049,583.6,-19.82,1102.9,196.9,46,8.515,23.427,0.0,46,0
cand02431,0.0390,0.105,704.4,-33.14,1304.0,238.8,46,8.079,19.764,0.125,57,0
cand02215,0.0374,0.626,905.5,-39.38,1711.6,356.6,66,1.319,3.2,0.438,86,0
cand00427,0.0359,0.149,919.4,-41.72,1709.8,341.8,68,6.031,14.943,0.143,88,0
cand00494,0.0358,0.039,647.2,-32.11,1245.4,256.2,46,11.556,25.612,0.0,54,0
cand00339,0.0345,0.032,695.9,-21.82,1298.4,235.0,51,13.583,27.872,0.0,64,0
cand02470,0.0339,0.344,883.1,-37.30,1625.3,352.4,62,3.213,11.524,0.5,84,0
cand02390,0.0328,,495.5,-23.86,936.0,195.0,50,,,,40,0
cand02139,0.0327,0.02,849.9,-36.80,1576.8,307.4,69,10.883,40.531,0.0,78,0
cand02224,0.0327,0.02,583.9,-19.71,1114.7,171.5,52,14.163,37.107,0.0,53,0
cand00777,0.0318,0.402,679.3,-24.93,1311.2,234.1,56,2.509,4.547,0.167,62,0
cand02296,0.0318,,210.3,-4.95,373.2,50.8,21,,,,17,0
cand01098,0.0317,0.161,503.1,-17.66,945.5,166.2,45,8.108,23.41,0.333,43,0
cand02342,0.0296,0.124,549.4,-27.20,1030.1,231.5,42,8.283,19.998,0.188,51,0
cand00158,0.0295,0.511,817.4,-29.57,1506.0,235.2,62,2.42,5.768,0.571,59,0
cand00635,0.0283,0.052,888.5,-19.78,1703.9,281.4,71,11.797,21.0,0.0,86,0
cand01156,0.0282,0.725,760.7,-31.49,1395.4,297.3,59,1.684,5.155,1.0,76,0
cand01119,0.0278,0.307,833.9,-42.04,1537.6,348.2,68,3.046,10.593,0.333,84,0
cand01448,0.0278,0.207,855.8,-36.45,1598.1,355.2,66,3.954,11.54,0.143,74,0
cand00837,0.0275,0.057,791.4,-37.87,1543.5,318.5,66,9.397,20.43,0.0,71,0
cand02328,0.0271,0.519,885.9,-46.80,1701.2,379.0,66,1.764,4.737,0.375,80,0
cand00901,0.0264,0.098,926.7,-31.94,1715.7,336.2,71,6.7,14.853,0.0,85,0
cand00246,0.0257,0.28,898.0,-30.68,1706.0,318.1,66,3.721,7.934,0.167,76,0
cand02291,0.0247,0.388,1070.7,-40.00,2022.4,376.8,77,2.652,8.638,0.429,97,0
cand01357,0.0247,0.76,745.2,-37.59,1398.4,314.6,66,1.39,4.998,1.0,65,0
cand00125,0.0244,0.21,651.9,-26.74,1195.7,239.2,54,3.818,8.555,0.0,66,0
cand01140,0.0239,,762.5,-27.82,1405.0,292.4,58,,,,66,0
cand01453,0.0225,0.035,869.3,-34.26,1661.4,309.2,60,8.032,30.9,0.0,76,0
cand01342,0.0221,0.019,946.1,-38.93,1685.9,335.7,61,11.239,41.234,0.0,81,0
cand00809,0.0220,0.337,698.7,-28.52,1294.2,256.5,55,3.423,8.246,0.333,68,0
cand00979,0.0209,0.741,985.5,-46.18,1882.9,405.4,78,1.788,4.123,1.0,91,0
cand00721,0.0209,,590.6,-20.46,1114.0,192.0,50,,,,51,0
cand00343,0.0208,0.717,833.4,-30.63,1562.2,268.6,62,1.1,2.342,0.571,75,0
cand01451,0.0202,0.021,854.3,-36.53,1591.3,323.7,58,9.885,42.185,0.0,83,0
cand00742,0.0193,0.582,914.6,-37.85,1714.6,297.9,66,1.819,3.699,0.5,80,0
cand00664,0.0190,0.627,910.6,-41.05,1715.6,335.3,66,2.093,5.019,0.8,82,0
cand02223,0.0189,0.446,874.7,-37.19,1643.5,354.7,71,2.348,5.919,0.375,80,0
cand01913,0.0187,0.022,662.8,-29.87,1270.4,285.7,55,12.332,36.007,0.0,67,0
cand01608,0.0182,0.03,811.9,-43.90,1537.1,333.0,71,9.785,31.682,0.0,77,0
cand02305,0.0182,0.024,844.4,-31.68,1559.9,261.8,70,12.873,33.803,0.0,82,0
cand01236,0.0178,0.022,954.7,-37.99,1778.4,350.1,69,11.127,38.25,0.0,82,0
cand01747,0.0175,0.292,955.2,-39.72,1806.1,316.8,66,3.43,10.068,0.3,84,0
cand01533,0.0175,0.302,796.9,-32.91,1467.3,287.2,63,3.331,9.661,0.3,82,0
cand02461,0.0175,0.054,955.4,-32.41,1722.9,316.6,68,7.393,22.883,0.0,90,0
cand01217,0.0173,0.557,934.9,-37.75,1757.3,345.3,61,2.21,5.142,0.625,82,0
cand01317,0.0172,0.023,919.4,-40.82,1672.6,362.2,59,10.617,37.545,0.0,77,0
cand02250,0.0171,0.199,668.8,-23.85,1288.6,236.6,56,3.817,12.387,0.143,58,0
cand02113,0.0169,0.239,934.6,-41.93,1780.1,307.2,69,4.369,16.455,0.4,81,0
cand01996,0.0168,0.02,964.5,-41.80,1786.2,359.6,71,13.899,37.282,0.0,82,0
cand01289,0.0168,0.187,766.9,-33.18,1444.4,264.8,65,5.765,14.801,0.25,74,0
cand01556,0.0167,0.077,807.2,-28.66,1508.7,244.4,63,5.455,19.477,0.0,80,0
cand00299,0.0167,0.083,728.9,-22.94,1373.8,263.5,51,8.789,29.368,0.143,56,0
cand02094,0.0166,0.044,832.9,-36.14,1576.9,344.9,64,7.083,27.161,0.0,79,0
cand01969,0.0163,0.611,878.7,-35.40,1642.3,285.9,65,1.531,4.627,0.571,87,0
cand02082,0.0163,0.545,830.3,-35.14,1595.2,317.9,68,2.322,4.639,0.571,75,0
cand02240,0.0163,0.029,691.5,-25.93,1257.9,241.5,54,9.874,32.648,0.0,61,0
cand00886,0.0161,0.584,741.5,-33.27,1360.1,260.4,69,1.793,3.694,0.5,69,0
cand00301,0.0160,0.31,815.8,-41.09,1547.4,300.8,60,3.613,9.987,0.364,67,0
cand00937,0.0159,0.021,884.0,-40.25,1713.0,354.9,64,14.107,36.636,0.0,76,0
cand02232,0.0159,,859.5,-34.27,1604.6,293.2,64,,,,85,0
cand01508,0.0159,0.042,806.6,-32.60,1516.0,275.3,70,13.641,23.533,0.0,76,0
cand00661,0.0159,0.061,904.2,-32.16,1724.4,339.0,60,8.705,19.973,0.0,75,0
cand02213,0.0159,,677.0,-22.59,1217.4,199.4,47,,,,48,0
cand00478,0.0157,0.042,768.8,-33.37,1438.1,269.1,57,12.706,24.029,0.0,65,0
cand00699,0.0155,0.482,906.4,-39.35,1732.0,372.7,70,2.214,6.482,0.5,82,0
cand02165,0.0155,0.04,964.1,-34.17,1820.7,329.3,76,9.83,26.093,0.0,94,0
cand00945,0.0155,0.789,906.3,-34.10,1689.3,332.1,69,1.504,3.306,1.0,70,0
cand01563,0.0154,0.144,819.4,-41.11,1527.3,309.7,70,5.597,19.202,0.2,81,0
cand02177,0.0154,,868.0,-37.49,1617.9,345.8,65,,,,77,0
cand00932,0.0154,0.379,670.8,-28.98,1245.9,256.0,57,2.116,9.02,0.333,71,0
cand02402,0.0154,0.065,717.8,-25.62,1370.3,260.6,48,8.014,19.472,0.0,56,0
cand00950,0.0152,0.086,563.0,-19.04,1023.0,218.4,51,7.086,16.248,0.0,46,0
cand02195,0.0151,0.215,762.3,-26.96,1443.6,305.7,57,4.201,11.211,0.167,59,0
cand02124,0.0150,0.453,905.6,-33.65,1722.2,330.7,71,2.269,5.851,0.375,80,0
cand00160,0.0150,0.035,837.5,-26.21,1533.0,268.0,63,13.315,26.473,0.0,70,0
cand01598,0.0149,0.151,675.9,-29.55,1252.8,252.1,59,4.526,14.598,0.1,64,0
cand01102,0.0148,,830.2,-24.63,1552.0,291.4,66,,,,77,0
cand01216,0.0147,0.743,890.2,-40.77,1678.7,373.8,69,1.338,4.054,0.857,89,0
cand01016,0.0147,0.021,920.5,-37.05,1680.8,329.0,61,11.132,39.466,0.0,88,0
cand00954,0.0147,0.427,713.5,-31.82,1355.9,261.3,54,2.374,7.427,0.429,61,0
cand00326,0.0146,,875.4,-39.67,1643.5,325.4,62,,,,75,0
cand01042,0.0145,0.046,913.7,-39.74,1716.9,310.8,62,7.02,26.376,0.0,90,0
cand00265,0.0145,0.035,761.0,-22.73,1431.3,276.4,61,11.15,27.248,0.0,67,0
cand01071,0.0144,0.296,889.4,-37.73,1645.8,292.2,62,3.863,9.26,0.3,75,0
cand00714,0.0144,0.032,464.4,-20.19,819.7,141.3,29,10.475,29.829,0.0,33,0
cand00852,0.0143,0.402,826.1,-34.78,1556.9,334.0,63,3.146,7.074,0.429,68,0
cand00079,0.0143,0.348,848.4,-24.03,1514.4,257.6,56,2.629,6.684,0.182,59,0
cand02234,0.0143,,639.5,-22.99,1175.3,203.7,40,,,,45,0
cand02380,0.0143,,714.2,-18.16,1255.9,225.7,48,,,,49,0
cand02367,0.0143,,543.3,-14.91,996.5,158.1,45,,,,47,0
cand00994,0.0142,0.1,797.9,-27.69,1478.3,233.3,65,7.233,14.362,0.0,75,0
cand01380,0.0141,0.021,857.8,-37.14,1637.7,302.3,62,13.925,36.39,0.0,72,0
cand01817,0.0141,0.018,877.5,-30.06,1614.3,280.8,64,11.781,42.452,0.0,77,0
cand00988,0.0141,0.044,707.9,-26.11,1329.8,225.3,48,13.06,23.082,0.0,61,0
cand00544,0.0140,0.057,801.5,-47.66,1499.9,344.8,65,9.628,20.351,0.0,77,0
cand01344,0.0140,0.869,857.6,-42.46,1605.7,330.5,64,1.075,2.04,1.0,80,0
cand01899,0.0140,0.628,896.1,-30.99,1654.8,334.1,63,1.723,6.178,0.8,87,0
cand00262,0.0140,0.646,819.8,-28.02,1492.2,267.0,61,1.778,4.126,0.714,67,0
cand00953,0.0139,0.061,832.1,-29.82,1606.3,283.1,65,9.964,19.372,0.0,73,0
cand01648,0.0139,0.033,606.7,-23.29,1155.5,236.7,52,11.852,28.403,0.0,57,0
cand01305,0.0138,0.048,823.8,-36.74,1496.5,324.7,61,11.198,22.479,0.0,79,0
cand00874,0.0138,0.072,678.5,-26.16,1253.8,249.4,59,9.304,17.522,0.0,67,0
cand01283,0.0138,0.018,633.8,-19.25,1185.5,190.0,58,11.088,43.488,0.0,61,0
cand00682,0.0138,0.16,531.1,-16.01,967.5,141.5,51,8.265,14.828,0.2,40,0
cand01752,0.0137,0.554,761.7,-39.19,1424.0,314.1,60,1.785,10.635,0.857,76,0
cand02227,0.0137,,831.5,-34.19,1592.5,286.6,68,,,,87,0
cand01152,0.0137,0.033,855.3,-24.86,1564.8,241.1,51,8.362,31.221,0.0,72,0
cand00904,0.0136,0.019,851.8,-41.05,1609.0,363.6,66,10.307,43.373,0.0,83,0
cand01099,0.0136,0.02,931.2,-39.16,1776.1,346.9,58,11.151,39.792,0.0,80,0
cand01220,0.0136,0.042,839.2,-36.54,1580.8,300.0,61,7.484,27.481,0.0,74,0
cand01227,0.0136,0.277,793.1,-32.88,1485.5,311.8,62,3.272,6.119,0.0,78,0
cand01096,0.0136,0.019,826.4,-27.59,1522.9,250.0,57,10.899,43.01,0.0,66,0
cand01345,0.0136,0.017,718.1,-27.19,1317.3,237.6,60,11.665,44.148,0.0,72,0
cand01184,0.0136,0.017,769.8,-25.53,1461.1,250.0,57,12.39,43.553,0.0,62,0
cand01404,0.0136,0.05,704.4,-24.89,1305.3,218.8,51,6.548,25.568,0.0,62,0
cand02199,0.0136,,643.1,-19.94,1196.9,218.4,50,,,,58,0
cand01854,0.0135,0.049,857.3,-44.21,1607.5,354.6,65,13.074,21.614,0.0,72,0
cand00667,0.0135,0.07,783.6,-39.95,1462.0,318.8,70,8.563,18.205,0.0,82,0
cand00860,0.0135,0.076,954.5,-38.14,1772.1,331.5,72,5.748,19.267,0.0,93,0
cand00273,0.0135,0.544,892.0,-35.38,1611.7,293.4,62,2.423,5.74,0.667,79,0
cand01628,0.0135,0.064,799.6,-30.22,1544.4,300.2,55,6.227,21.207,0.0,65,0
cand02472,0.0135,0.035,810.5,-28.54,1467.4,291.1,61,9.492,28.991,0.0,71,0
cand01081,0.0135,0.251,693.6,-24.28,1283.6,245.0,49,4.887,12.049,0.333,54,0
cand01247,0.0134,0.387,825.7,-41.95,1577.6,351.8,61,3.209,7.216,0.4,75,0
cand01065,0.0134,0.307,861.9,-39.51,1616.3,316.5,61,3.028,7.233,0.143,78,0
cand01830,0.0134,,887.5,-36.30,1682.6,292.0,71,,,,87,0
cand00893,0.0134,0.066,809.8,-34.78,1519.3,311.7,54,6.286,20.788,0.0,65,0
cand01123,0.0134,0.217,860.2,-31.43,1576.4,307.2,67,3.714,8.324,0.0,82,0
cand01796,0.0134,0.048,787.4,-29.88,1437.1,274.0,59,7.487,24.768,0.0,78,0
cand00942,0.0134,0.04,675.4,-23.73,1263.2,237.6,44,11.314,25.243,0.0,49,0
cand01443,0.0133,0.351,834.3,-36.90,1528.9,325.4,58,4.634,10.715,0.571,77,0
cand01008,0.0133,0.023,900.9,-36.42,1666.0,325.8,67,13.249,35.141,0.0,79,0
cand00827,0.0133,0.028,859.9,-34.85,1580.6,305.2,57,8.454,36.19,0.0,78,0
cand00665,0.0133,,720.0,-34.27,1295.7,265.7,56,,,,67,0
cand01908,0.0133,0.021,849.9,-27.67,1599.7,291.9,73,13.432,36.546,0.0,74,0
cand01199,0.0133,,654.0,-24.69,1185.4,223.9,59,,,,57,0
cand02325,0.0133,,739.8,-24.63,1478.7,256.1,58,,,,65,0
cand02268,0.0133,,692.3,-21.52,1280.3,207.4,52,,,,62,0
cand00709,0.0132,0.098,884.9,-44.30,1666.8,304.2,65,5.456,22.619,0.1,76,0
cand02239,0.0132,0.83,1056.1,-42.15,1969.8,372.8,73,1.279,2.636,1.0,104,0
cand01193,0.0132,0.066,1057.6,-41.45,1954.9,380.3,80,8.334,18.962,0.0,102,0
cand01348,0.0132,0.685,872.2,-37.41,1654.3,391.7,68,2.405,4.571,1.0,89,0
cand01080,0.0132,0.018,762.5,-37.02,1393.4,303.9,54,10.833,45.393,0.0,71,0
cand01251,0.0132,0.106,827.1,-34.31,1494.4,301.8,63,6.435,14.093,0.0,76,0
cand01917,0.0132,0.033,822.1,-32.88,1572.9,255.4,67,11.068,28.383,0.0,69,0
cand01641,0.0132,0.129,909.5,-31.77,1681.9,311.7,62,5.324,16.828,0.111,75,0
cand02167,0.0132,0.017,817.1,-31.44,1523.5,253.7,69,12.262,43.313,0.0,73,0
cand01879,0.0132,0.152,753.7,-31.08,1397.5,297.7,63,8.88,15.58,0.2,77,0
cand00961,0.0132,0.696,760.5,-30.01,1390.7,272.1,57,1.593,4.753,0.857,70,0
cand00003,0.0132,0.29,659.6,-29.71,1204.7,244.3,52,4.522,8.524,0.273,63,0
cand02271,0.0132,,664.5,-26.50,1201.3,222.1,57,,,,54,0
cand02388,0.0132,,635.5,-24.48,1186.7,230.5,49,,,,52,0
cand01966,0.0131,0.139,956.6,-46.67,1771.4,359.4,66,5.518,11.609,0.0,79,0
cand02369,0.0131,0.048,934.0,-43.00,1792.6,364.2,66,8.062,24.222,0.0,81,0
cand01907,0.0131,0.03,1019.6,-41.92,1932.0,374.6,67,9.361,31.935,0.0,84,0
cand02310,0.0131,0.03,981.4,-37.49,1859.8,316.9,69,11.134,30.201,0.0,88,0
cand02055,0.0131,0.264,1062.6,-35.42,1948.0,403.7,78,3.441,11.644,0.286,93,0
cand01422,0.0131,0.021,784.5,-32.64,1497.0,278.0,59,9.841,40.748,0.0,76,0
cand01078,0.0131,0.02,767.5,-31.99,1418.9,274.7,54,11.183,40.086,0.0,73,0
cand02216,0.0131,0.048,790.9,-30.68,1446.9,289.1,64,8.04,24.272,0.0,76,0
cand02229,0.0131,,631.1,-26.98,1130.9,191.7,53,,,,58,0
cand02377,0.0131,,701.1,-23.92,1312.3,249.4,53,,,,57,0
cand01284,0.0131,0.146,767.8,-21.00,1420.2,258.4,48,7.616,20.101,0.25,60,0
cand02093,0.0130,0.017,996.6,-40.25,1821.0,371.1,74,12.752,43.15,0.0,94,0
cand01315,0.0130,0.08,959.2,-37.02,1739.7,344.4,79,5.401,18.912,0.0,100,0
cand01286,0.0130,0.042,872.8,-36.96,1624.9,318.2,81,8.83,25.98,0.0,81,0
cand02370,0.0130,0.351,811.4,-33.52,1484.7,299.4,59,2.545,8.327,0.286,75,0
cand01421,0.0130,0.015,798.3,-33.44,1458.5,297.8,62,13.152,45.782,0.0,74,0
cand01250,0.0130,0.364,770.5,-31.06,1471.8,271.4,54,3.974,7.441,0.4,56,0
cand01814,0.0130,0.693,900.9,-28.76,1681.8,329.7,74,1.605,4.087,0.8,88,0
cand00027,0.0130,0.092,681.5,-25.07,1305.3,219.7,61,6.512,15.775,0.0,67,0
cand02273,0.0130,,615.2,-19.73,1136.4,230.4,44,,,,53,0
cand01326,0.0129,0.021,967.2,-44.01,1881.7,435.1,66,14.055,36.531,0.0,86,0
cand01873,0.0129,0.202,1013.7,-41.85,1844.1,360.9,80,3.627,9.221,0.0,86,0
cand01331,0.0129,0.022,914.9,-39.46,1735.2,322.8,66,14.259,35.279,0.0,78,0
cand00923,0.0129,0.528,1036.9,-38.80,1918.1,369.6,72,2.269,4.509,0.5,79,0
cand00358,0.0129,0.6,865.2,-37.53,1627.2,331.0,72,1.364,3.521,0.4,79,0
cand02048,0.0129,0.027,748.5,-36.17,1382.8,317.4,51,10.238,33.293,0.0,77,0
cand02442,0.0129,0.146,829.7,-31.01,1524.0,281.5,55,7.079,16.65,0.188,71,0
cand02142,0.0129,0.601,760.7,-25.07,1396.6,207.7,53,1.805,3.952,0.571,66,0
cand00091,0.0129,0.055,599.5,-24.46,1093.2,189.6,49,10.305,20.747,0.0,56,0
cand00220,0.0129,0.047,798.8,-24.27,1469.4,251.9,69,12.286,22.481,0.0,75,0
cand01788,0.0129,0.078,721.7,-23.96,1361.5,227.5,54,6.018,18.384,0.0,57,0
cand01701,0.0129,0.198,755.5,-19.50,1413.4,210.2,63,5.27,10.031,0.1,70,0
cand02064,0.0129,0.034,683.3,-18.54,1274.3,198.0,50,8.5,30.624,0.0,57,0
cand02408,0.0128,0.697,899.3,-37.45,1694.9,333.9,67,1.069,3.477,0.571,75,0
cand02125,0.0128,0.045,846.0,-35.80,1545.5,337.5,70,6.691,27.358,0.0,75,0
cand01172,0.0128,0.16,835.5,-34.56,1563.0,281.9,61,7.548,19.712,0.286,76,0
cand01188,0.0128,0.061,869.5,-34.11,1619.2,294.5,54,8.832,39.427,0.111,74,0
cand01985,0.0128,0.123,882.1,-29.70,1637.3,306.9,71,4.257,14.444,0.0,72,0
cand00587,0.0128,0.049,759.2,-28.86,1424.1,239.0,60,13.572,21.429,0.0,76,0
cand01073,0.0128,,693.3,-27.09,1275.4,247.0,59,,,,61,0
cand02145,0.0128,0.028,788.4,-26.08,1473.5,293.2,61,13.827,30.462,0.0,72,0
cand00422,0.0128,0.135,803.1,-22.12,1463.1,263.4,60,6.607,14.509,0.1,69,0
cand01244,0.0128,0.018,823.0,-21.77,1535.2,246.9,62,12.415,42.146,0.0,65,0
cand00823,0.0128,0.411,618.2,-19.06,1159.5,216.4,49,2.413,4.422,0.167,49,0
cand00940,0.0127,0.661,807.8,-37.79,1556.4,317.8,70,1.688,3.209,0.667,83,0
cand02008,0.0127,0.029,883.3,-34.69,1642.6,318.4,67,10.882,31.582,0.0,78,0
cand00560,0.0127,0.191,921.0,-34.61,1700.7,331.8,69,6.2,12.466,0.2,81,0
cand02171,0.0127,0.441,1063.8,-31.94,1983.8,327.0,68,2.327,4.501,0.25,87,0
cand00981,0.0127,0.047,773.4,-31.88,1407.9,269.1,63,14.269,21.884,0.0,63,0
cand00795,0.0127,0.177,830.4,-29.42,1527.9,309.2,53,5.96,13.884,0.2,60,0
cand02081,0.0127,0.05,797.0,-29.06,1515.3,316.3,63,14.083,21.197,0.0,67,0
cand01273,0.0127,0.231,593.1,-27.10,1112.3,228.4,50,3.186,10.403,0.111,57,0
cand01952,0.0127,0.027,816.0,-26.28,1549.5,264.8,53,9.528,34.643,0.0,68,0
cand01386,0.0127,0.02,834.2,-24.44,1567.5,254.1,58,10.973,40.482,0.0,70,0
cand00854,0.0127,,666.7,-19.47,1263.1,218.7,48,,,,58,0
cand01480,0.0126,0.062,1048.6,-46.96,1962.4,378.8,80,7.466,20.582,0.0,106,0
